qcl_item_code,qcl_item,fbs_item_code,fbs_item,kcal_per_100g,mapping_status,mapping_method,fbs_candidates,kcal_basis,kcal_n_obs,kcal_q25,kcal_q75,kcal_dispersion_high,equivalence_ratio,equivalence_n_obs,equivalence_share_within_tol,equivalence_warning,needs_manual,needs_manual_reason,built_at
15,Wheat,2511,Wheat and products,258.3860465116279,mapped,fao_default_composition,2511,consumers_above_min_kg,1731,241.12396880464235,272.53018298235577,0,1.0,1134,0.8042328042328042,0,0,,2026-09-13T12:48:00+00:00
27,Rice,2807,Rice and products,230.05057619172487,mapped,fao_default_composition,2807,consumers_above_min_kg,1728,217.40204927877016,238.30340847173298,0,1.0,1028,0.8015564202334631,0,0,,2026-09-13T12:48:00+00:00
44,Barley,2513,Barley and products,230.82425302638023,mapped,fao_default_composition,2513,consumers_above_min_kg,490,201.61428605460003,260.6655220237619,0,1.0,968,0.8254132231404959,0,0,,2026-09-13T12:48:00+00:00
56,Maize (corn),2514,Maize and products,317.4327663154814,mapped,fao_default_composition,2514,consumers_above_min_kg,1440,282.2994753097569,335.3681999258377,0,1.0,1465,0.8095563139931741,0,0,,2026-09-13T12:48:00+00:00
71,Rye,2515,Rye and products,263.1950105411103,mapped,fao_default_composition,2515,consumers_above_min_kg,261,250.34386617100373,279.58401639344265,0,0.9991673605328892,611,0.662847790507365,0,0,,2026-09-13T12:48:00+00:00
75,Oats,2516,Oats,200.91898148148147,mapped,fao_default_composition,2516,consumers_above_min_kg,534,196.96226415094335,218.47595725600652,0,1.0,722,0.7146814404432132,0,0,,2026-09-13T12:48:00+00:00
79,Millet,2517,Millet and products,299.96374166931133,mapped,fao_default_composition,2517,consumers_above_min_kg,230,298.8465320121951,317.7336533787069,0,0.9999861197362555,682,0.6114369501466276,0,0,,2026-09-13T12:48:00+00:00
83,Sorghum,2518,Sorghum and products,313.15308249821044,mapped,fao_default_composition,2518,consumers_above_min_kg,348,295.75184411393656,330.19275837299097,0,0.9998625146078229,967,0.6680455015511892,0,0,,2026-09-13T12:48:00+00:00
89,Buckwheat,2520,"Cereals, other",289.25651198607204,mapped,fao_default_composition,2520,consumers_above_min_kg,588,132.76886100298037,347.5392436510858,1,1.0088790511835757,790,0.489873417721519,0,0,,2026-09-13T12:48:00+00:00
92,Quinoa,2520,"Cereals, other",289.25651198607204,mapped,fao_default_composition,2520,consumers_above_min_kg,588,132.76886100298037,347.5392436510858,1,1.0088790511835757,790,0.489873417721519,0,0,,2026-09-13T12:48:00+00:00
94,Fonio,2520,"Cereals, other",289.25651198607204,mapped,fao_default_composition,2520,consumers_above_min_kg,588,132.76886100298037,347.5392436510858,1,1.0088790511835757,790,0.489873417721519,0,0,,2026-09-13T12:48:00+00:00
97,Triticale,2520,"Cereals, other",289.25651198607204,mapped,fao_default_composition,2520,consumers_above_min_kg,588,132.76886100298037,347.5392436510858,1,1.0088790511835757,790,0.489873417721519,0,0,,2026-09-13T12:48:00+00:00
101,Canary seed,2520,"Cereals, other",289.25651198607204,mapped,fao_default_composition,2520,consumers_above_min_kg,588,132.76886100298037,347.5392436510858,1,1.0088790511835757,790,0.489873417721519,0,0,,2026-09-13T12:48:00+00:00
103,Mixed grain,2520,"Cereals, other",289.25651198607204,mapped,fao_default_composition,2520,consumers_above_min_kg,588,132.76886100298037,347.5392436510858,1,1.0088790511835757,790,0.489873417721519,0,0,,2026-09-13T12:48:00+00:00
108,Cereals n.e.c.,2520,"Cereals, other",289.25651198607204,mapped,fao_default_composition,2520,consumers_above_min_kg,588,132.76886100298037,347.5392436510858,1,1.0088790511835757,790,0.489873417721519,0,0,,2026-09-13T12:48:00+00:00
116,Potatoes,2531,Potatoes and products,63.80937712473293,mapped,fao_default_composition,2531,consumers_above_min_kg,1650,60.42212468859664,64.46017300777027,0,1.0,1408,0.8465909090909091,0,0,,2026-09-13T12:48:00+00:00
122,Sweet potatoes,2533,Sweet potatoes,97.94738165732522,mapped,fao_default_composition,2533,consumers_above_min_kg,698,97.92082186322807,98.03627331228894,0,0.9999730803201659,922,0.6355748373101953,0,0,,2026-09-13T12:48:00+00:00
125,"Cassava, fresh",2532,Cassava and products,117.94346473029044,mapped,fao_default_composition,2532,consumers_above_min_kg,755,99.64606199406563,121.83744582348304,0,0.9999982679398464,809,0.7243510506798516,0,0,,2026-09-13T12:48:00+00:00
135,Yautia,2534,"Roots, Other",84.77869897959184,mapped,fao_default_composition,2534,consumers_above_min_kg,625,84.62313860252003,85.05188679245282,0,0.9997779216701651,787,0.6162642947903431,0,0,,2026-09-13T12:48:00+00:00
136,Taro,2534,"Roots, Other",84.77869897959184,mapped,fao_default_composition,2534,consumers_above_min_kg,625,84.62313860252003,85.05188679245282,0,0.9997779216701651,787,0.6162642947903431,0,0,,2026-09-13T12:48:00+00:00
137,Yams,2535,Yams,89.0385668703742,mapped,fao_default_composition,2535,consumers_above_min_kg,302,89.00877192982456,89.0597933182333,0,0.9986013012037744,441,0.6190476190476191,0,0,,2026-09-13T12:48:00+00:00
149,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",2534,"Roots, Other",84.77869897959184,mapped,fao_default_composition,2534,consumers_above_min_kg,625,84.62313860252003,85.05188679245282,0,0.9997779216701651,787,0.6162642947903431,0,0,,2026-09-13T12:48:00+00:00
156,Sugar cane,2536,Sugar cane,32.99949524084222,mapped,fao_default_composition,2536,consumers_above_min_kg,271,32.987633715389435,33.0112208399765,0,1.0,837,0.8255675029868578,0,0,,2026-09-13T12:48:00+00:00
157,Sugar beet,2537,Sugar beet,55.71052631578948,mapped,fao_default_composition,2537,all_consumers,69,54.74999999999999,56.15384615384615,0,0.9999973123168456,539,0.862708719851577,0,0,,2026-09-13T12:48:00+00:00
161,Other sugar crops n.e.c.,2543,"Sweeteners, Other",56.80678317081714,mapped,fao_default_composition,2543,consumers_above_min_kg,1480,42.630864183966224,121.68497420464317,1,2.416189955877525,30,0.13333333333333333,1,0,,2026-09-13T12:48:00+00:00
176,"Beans, dry",2546,Beans,316.0365853658537,mapped,fao_default_composition,2546,consumers_above_min_kg,771,315.82405606792844,316.25981269168983,0,0.9996847606327933,998,0.6803607214428857,0,0,,2026-09-13T12:48:00+00:00
181,"Broad beans and horse beans, dry",2549,"Pulses, Other and products",329.4125,mapped,fao_default_composition,2549,consumers_above_min_kg,922,324.3391685483098,334.54777276258835,0,1.0005427006759091,1351,0.5210954848260547,0,0,,2026-09-13T12:48:00+00:00
187,"Peas, dry",2547,Peas,323.07432432432427,mapped,fao_default_composition,2547,consumers_above_min_kg,443,322.6739004112284,323.6462765957447,0,0.9994264313415917,906,0.5717439293598234,0,0,,2026-09-13T12:48:00+00:00
191,"Chick peas, dry",2549,"Pulses, Other and products",329.4125,mapped,fao_default_composition,2549,consumers_above_min_kg,922,324.3391685483098,334.54777276258835,0,1.0005427006759091,1351,0.5210954848260547,0,0,,2026-09-13T12:48:00+00:00
195,"Cow peas, dry",2549,"Pulses, Other and products",329.4125,mapped,fao_default_composition,2549,consumers_above_min_kg,922,324.3391685483098,334.54777276258835,0,1.0005427006759091,1351,0.5210954848260547,0,0,,2026-09-13T12:48:00+00:00
197,"Pigeon peas, dry",2549,"Pulses, Other and products",329.4125,mapped,fao_default_composition,2549,consumers_above_min_kg,922,324.3391685483098,334.54777276258835,0,1.0005427006759091,1351,0.5210954848260547,0,0,,2026-09-13T12:48:00+00:00
201,"Lentils, dry",2549,"Pulses, Other and products",329.4125,mapped,fao_default_composition,2549,consumers_above_min_kg,922,324.3391685483098,334.54777276258835,0,1.0005427006759091,1351,0.5210954848260547,0,0,,2026-09-13T12:48:00+00:00
203,"Bambara beans, dry",2549,"Pulses, Other and products",329.4125,mapped,fao_default_composition,2549,consumers_above_min_kg,922,324.3391685483098,334.54777276258835,0,1.0005427006759091,1351,0.5210954848260547,0,0,,2026-09-13T12:48:00+00:00
205,Vetches,2549,"Pulses, Other and products",329.4125,mapped,fao_default_composition,2549,consumers_above_min_kg,922,324.3391685483098,334.54777276258835,0,1.0005427006759091,1351,0.5210954848260547,0,0,,2026-09-13T12:48:00+00:00
210,Lupins,2549,"Pulses, Other and products",329.4125,mapped,fao_default_composition,2549,consumers_above_min_kg,922,324.3391685483098,334.54777276258835,0,1.0005427006759091,1351,0.5210954848260547,0,0,,2026-09-13T12:48:00+00:00
211,Other pulses n.e.c.,2549,"Pulses, Other and products",329.4125,mapped,fao_default_composition,2549,consumers_above_min_kg,922,324.3391685483098,334.54777276258835,0,1.0005427006759091,1351,0.5210954848260547,0,0,,2026-09-13T12:48:00+00:00
216,"Brazil nuts, in shell",2551,Nuts and products,146.2835538802898,mapped,fao_default_composition,2551,consumers_above_min_kg,1128,87.2449855253237,229.09336734693875,1,0.999270936098072,1096,0.5766423357664233,0,0,,2026-09-13T12:48:00+00:00
217,"Cashew nuts, in shell",2551,Nuts and products,146.2835538802898,mapped,fao_default_composition,2551,consumers_above_min_kg,1128,87.2449855253237,229.09336734693875,1,0.999270936098072,1096,0.5766423357664233,0,0,,2026-09-13T12:48:00+00:00
220,"Chestnuts, in shell",2551,Nuts and products,146.2835538802898,mapped,fao_default_composition,2551,consumers_above_min_kg,1128,87.2449855253237,229.09336734693875,1,0.999270936098072,1096,0.5766423357664233,0,0,,2026-09-13T12:48:00+00:00
221,"Almonds, in shell",2551,Nuts and products,146.2835538802898,mapped,fao_default_composition,2551,consumers_above_min_kg,1128,87.2449855253237,229.09336734693875,1,0.999270936098072,1096,0.5766423357664233,0,0,,2026-09-13T12:48:00+00:00
222,"Walnuts, in shell",2551,Nuts and products,146.2835538802898,mapped,fao_default_composition,2551,consumers_above_min_kg,1128,87.2449855253237,229.09336734693875,1,0.999270936098072,1096,0.5766423357664233,0,0,,2026-09-13T12:48:00+00:00
223,"Pistachios, in shell",2551,Nuts and products,146.2835538802898,mapped,fao_default_composition,2551,consumers_above_min_kg,1128,87.2449855253237,229.09336734693875,1,0.999270936098072,1096,0.5766423357664233,0,0,,2026-09-13T12:48:00+00:00
224,Kola nuts,2551,Nuts and products,146.2835538802898,mapped,fao_default_composition,2551,consumers_above_min_kg,1128,87.2449855253237,229.09336734693875,1,0.999270936098072,1096,0.5766423357664233,0,0,,2026-09-13T12:48:00+00:00
225,"Hazelnuts, in shell",2551,Nuts and products,146.2835538802898,mapped,fao_default_composition,2551,consumers_above_min_kg,1128,87.2449855253237,229.09336734693875,1,0.999270936098072,1096,0.5766423357664233,0,0,,2026-09-13T12:48:00+00:00
226,Areca nuts,2551,Nuts and products,146.2835538802898,mapped,fao_default_composition,2551,consumers_above_min_kg,1128,87.2449855253237,229.09336734693875,1,0.999270936098072,1096,0.5766423357664233,0,0,,2026-09-13T12:48:00+00:00
234,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",2551,Nuts and products,146.2835538802898,mapped,fao_default_composition,2551,consumers_above_min_kg,1128,87.2449855253237,229.09336734693875,1,0.999270936098072,1096,0.5766423357664233,0,0,,2026-09-13T12:48:00+00:00
236,Soya beans,2555,Soyabeans,399.85749999999996,mapped,fao_default_composition,2555,consumers_above_min_kg,279,368.07740964524515,405.08763877513877,0,1.0,918,0.6775599128540305,0,0,,2026-09-13T12:48:00+00:00
242,"Groundnuts, excluding shelled",2552,Groundnuts,331.8953488372093,mapped,fao_default_composition,2552,consumers_above_min_kg,1177,184.8464285714286,411.0154707044108,1,0.9997279296825131,976,0.5983606557377049,0,0,,2026-09-13T12:48:00+00:00
249,"Coconuts, in shell",2560,Coconuts - Incl Copra,86.96953867052002,mapped,fao_default_composition,2560,consumers_above_min_kg,668,84.95516013859455,104.58570727501034,0,0.9999887662541355,727,0.5928473177441541,0,0,,2026-09-13T12:48:00+00:00
254,Oil palm fruit,2562,Palm kernels,,mapped,fao_default_composition,2562,not_derivable,0,,,,1.0,400,0.8475,0,1,FBS item 2562 has fewer than 20 country-years with positive food supply (kcal and kg); kcal_per_100g not derivable,2026-09-13T12:48:00+00:00
260,Olives,2563,Olives (including preserved),42.09666666666667,mapped,fao_default_composition,2563,consumers_above_min_kg,535,39.434673366834176,134.61310606060607,1,1.0,404,0.6732673267326733,0,0,,2026-09-13T12:48:00+00:00
263,Karite nuts (sheanuts),2570,"Oilcrops, Other",449.2764227642276,mapped,fao_default_composition,2570,consumers_above_min_kg,53,406.2956204379562,451.1209150326797,0,1.000693466941399,926,0.48596112311015116,0,0,,2026-09-13T12:48:00+00:00
265,Castor oil seeds,2570,"Oilcrops, Other",449.2764227642276,mapped,fao_default_composition,2570,consumers_above_min_kg,53,406.2956204379562,451.1209150326797,0,1.000693466941399,926,0.48596112311015116,0,0,,2026-09-13T12:48:00+00:00
267,Sunflower seed,2557,Sunflower seed,461.88653840455174,mapped,fao_default_composition,2557,consumers_above_min_kg,42,461.3514081546868,462.5954352304919,0,0.9999990324159992,694,0.7247838616714697,0,0,,2026-09-13T12:48:00+00:00
270,Rape or colza seed,2558,Rape and Mustardseed,71.77881040892193,mapped,fao_default_composition,2558,consumers_above_min_kg,107,71.60756920415224,73.9971626147358,0,0.9999865711214803,663,0.799396681749623,0,0,,2026-09-13T12:48:00+00:00
275,Tung nuts,2570,"Oilcrops, Other",449.2764227642276,mapped,fao_default_composition,2570,consumers_above_min_kg,53,406.2956204379562,451.1209150326797,0,1.000693466941399,926,0.48596112311015116,0,0,,2026-09-13T12:48:00+00:00
277,Jojoba seeds,2570,"Oilcrops, Other",449.2764227642276,mapped,fao_default_composition,2570,consumers_above_min_kg,53,406.2956204379562,451.1209150326797,0,1.000693466941399,926,0.48596112311015116,0,0,,2026-09-13T12:48:00+00:00
280,Safflower seed,2570,"Oilcrops, Other",449.2764227642276,mapped,fao_default_composition,2570,consumers_above_min_kg,53,406.2956204379562,451.1209150326797,0,1.000693466941399,926,0.48596112311015116,0,0,,2026-09-13T12:48:00+00:00
289,Sesame seed,2561,Sesame seed,585.0370552512383,mapped,fao_default_composition,2561,consumers_above_min_kg,126,584.2625248015873,585.8740980187695,0,0.9993488241250517,616,0.5665584415584416,0,0,,2026-09-13T12:48:00+00:00
292,Mustard seed,2558,Rape and Mustardseed,71.77881040892193,mapped,fao_default_composition,2558,consumers_above_min_kg,107,71.60756920415224,73.9971626147358,0,0.9999865711214803,663,0.799396681749623,0,0,,2026-09-13T12:48:00+00:00
