side,item_code,item,reason_class,fao_group,detail
QCL,328,"Seed cotton, unginned",unmapped,,no FBS item lists this crop in its FAO default composition; kcal_per_100g not derivable from FBS
QCL,677,Hop cones,unmapped,,no FBS item lists this crop in its FAO default composition; kcal_per_100g not derivable from FBS
QCL,748,"Peppermint, spearmint",unmapped,,no FBS item lists this crop in its FAO default composition; kcal_per_100g not derivable from FBS
QCL,754,"Pyrethrum, dried flowers",unmapped,,no FBS item lists this crop in its FAO default composition; kcal_per_100g not derivable from FBS
QCL,771,"Flax, raw or retted",unmapped,,no FBS item lists this crop in its FAO default composition; kcal_per_100g not derivable from FBS
QCL,777,"True hemp, raw or retted",unmapped,,no FBS item lists this crop in its FAO default composition; kcal_per_100g not derivable from FBS
QCL,780,"Jute, raw or retted",unmapped,,no FBS item lists this crop in its FAO default composition; kcal_per_100g not derivable from FBS
QCL,782,"Kenaf, and other textile bast fibres, raw or retted",unmapped,,no FBS item lists this crop in its FAO default composition; kcal_per_100g not derivable from FBS
QCL,788,"Ramie, raw or retted",unmapped,,no FBS item lists this crop in its FAO default composition; kcal_per_100g not derivable from FBS
QCL,789,"Sisal, raw",unmapped,,no FBS item lists this crop in its FAO default composition; kcal_per_100g not derivable from FBS
QCL,800,"Agave fibres, raw, n.e.c.",unmapped,,no FBS item lists this crop in its FAO default composition; kcal_per_100g not derivable from FBS
QCL,809,"Abaca, manila hemp, raw",unmapped,,no FBS item lists this crop in its FAO default composition; kcal_per_100g not derivable from FBS
QCL,813,"Coir, raw",unmapped,,no FBS item lists this crop in its FAO default composition; kcal_per_100g not derivable from FBS
QCL,821,"Other fibre crops, raw, n.e.c.",unmapped,,no FBS item lists this crop in its FAO default composition; kcal_per_100g not derivable from FBS
QCL,826,Unmanufactured tobacco,unmapped,,no FBS item lists this crop in its FAO default composition; kcal_per_100g not derivable from FBS
QCL,836,Natural rubber in primary forms,unmapped,,no FBS item lists this crop in its FAO default composition; kcal_per_100g not derivable from FBS
