area_code,first_year,last_year,n_years,expected_years,coverage_pct,sufficient_history
1,2014,2024,11,11,100.0,True
10,2014,2024,11,11,100.0,True
100,2014,2024,11,11,100.0,True
101,2014,2024,11,11,100.0,True
102,2014,2024,11,11,100.0,True
103,2014,2024,11,11,100.0,True
104,2014,2024,11,11,100.0,True
105,2014,2024,11,11,100.0,True
106,2014,2024,11,11,100.0,True
107,2014,2024,11,11,100.0,True
108,2014,2024,11,11,100.0,True
109,2014,2024,11,11,100.0,True
11,2014,2024,11,11,100.0,True
110,2014,2024,11,11,100.0,True
112,2014,2024,11,11,100.0,True
113,2014,2024,11,11,100.0,True
114,2014,2024,11,11,100.0,True
115,2014,2024,11,11,100.0,True
116,2014,2024,11,11,100.0,True
117,2014,2024,11,11,100.0,True
118,2014,2024,11,11,100.0,True
119,2014,2024,11,11,100.0,True
12,2014,2024,11,11,100.0,True
120,2014,2024,11,11,100.0,True
121,2014,2024,11,11,100.0,True
122,2014,2024,11,11,100.0,True
123,2014,2024,11,11,100.0,True
124,2014,2024,11,11,100.0,True
126,2014,2024,11,11,100.0,True
127,2014,2024,11,11,100.0,True
128,2014,2024,11,11,100.0,True
129,2014,2024,11,11,100.0,True
13,2014,2024,11,11,100.0,True
130,2014,2024,11,11,100.0,True
131,2014,2024,11,11,100.0,True
132,2014,2024,11,11,100.0,True
133,2014,2024,11,11,100.0,True
134,2014,2024,11,11,100.0,True
136,2014,2024,11,11,100.0,True
137,2014,2024,11,11,100.0,True
138,2014,2024,11,11,100.0,True
14,2014,2024,11,11,100.0,True
141,2014,2024,11,11,100.0,True
143,2014,2024,11,11,100.0,True
144,2014,2024,11,11,100.0,True
145,2014,2024,11,11,100.0,True
146,2014,2024,11,11,100.0,True
147,2014,2024,11,11,100.0,True
148,2014,2024,11,11,100.0,True
149,2014,2024,11,11,100.0,True
150,2014,2024,11,11,100.0,True
153,2014,2024,11,11,100.0,True
154,2014,2024,11,11,100.0,True
155,2014,2024,11,11,100.0,True
156,2014,2024,11,11,100.0,True
157,2014,2023,10,11,90.9,True
158,2014,2024,11,11,100.0,True
159,2014,2024,11,11,100.0,True
16,2014,2024,11,11,100.0,True
160,2014,2024,11,11,100.0,True
162,2014,2024,11,11,100.0,True
165,2014,2024,11,11,100.0,True
